#what,what,,,,,,,
#age,2 (week),,,,,,,
#organism part,aerial part,,,,,,,
#dose,20 micromolar,,,,,,,
#development stage,seedling,,,,,,,
#compound,,,DMSO,DMSO,t-zeatin,t-zeatin,DMSO,t-zeatin
Gene ID,Gene Name,DesignElementAccession,NASCArrays:Tab2MAGE:E-NASC-75.20.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.17.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.32.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.38.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.13.Hybridization,NASCArrays:Tab2MAGE:E-NASC-75.35.Hybridization
AT1G01930,,261625_at,6.588383912,6.61885416,7.146274809,7.084216406,6.613668314,7.158640685
AT1G01940,CYP18-1,261655_at,7.937976041,7.730316671,7.975528312,8.172156003,7.829048618,8.134010783
AT1G01950,ARK2,261656_at,6.849506042,6.985888109,6.877555251,6.797136853,6.862599694,6.877129653
AT1G01960,BIG3,261621_at,9.574815246,9.514557814,8.775449078,8.848352734,9.332981878,8.736290111
AT1G01970,,261622_at,8.212098104,8.397970091,8.987148333,8.861003643,8.365013671,8.900503459
AT1G01980,SEC1A,261623_at,3.96522591,3.978144686,4.127816195,3.788813276,3.888098093,3.797057139
AT1G01990,,261626_at,5.952420782,6.031327176,7.04521834,7.277364284,6.040109379,7.000554053
AT1G02000,GAE2,261624_at,6.646670054,6.343936236,6.620655101,6.71446098,6.744405122,6.530116078
AT1G02020,,264169_at,7.909235733,7.863494342,6.979699719,7.118621509,7.646500931,6.998107392
AT1G02050,PKSA,264175_at,5.255683406,5.334345062,5.01330106,4.943794588,5.281383867,4.950587971
AT1G02060,,264167_at,4.301163373,4.27148937,4.036034926,4.186664612,4.181814795,4.231356979
AT1G02070,,264151_at,4.157878885,3.883305001,4.132989946,3.938528126,4.058613768,3.95632381
AT1G02080,,264168_at,9.948825883,9.794300036,9.314337351,9.397781092,9.749100934,9.243293958
AT1G02090,CSN7,264150_at,6.646443453,7.041880045,8.516297065,8.400869012,6.937713862,8.342953776
AT1G02100,,264171_at,6.770312765,6.92731006,7.412153828,7.537864324,7.06289617,7.269698546
AT1G02110,,264176_at,7.276561612,7.088237312,7.458643589,7.433207889,7.018769148,7.259837
AT1G02120,VAD1,264172_at,8.010787976,8.003790466,8.619172881,8.711406447,8.15575151,8.673171649
AT1G02130,RABD2A,264122_at,7.908790933,7.92766405,8.618302572,8.938778602,8.044057976,8.717642272
AT1G02140,MEE63,264152_at,9.673899248,9.525002651,11.30454345,11.27420981,9.544060079,11.22700812
AT1G02150,,264177_at,9.872887953,9.765194611,10.51190386,10.57138078,9.550106696,10.52856563
AT1G02160,,264173_at,9.116830788,9.21146723,8.839654516,8.796995088,9.457594236,8.880258751
AT1G02170,AMC1,264178_at,8.794277863,8.760249851,8.959784537,9.030227029,9.049501418,8.994037887
AT1G02180,,264179_at,7.457578916,7.262558554,7.120539993,6.752952374,7.41914059,6.987292694
AT1G02190,,264180_at,4.501759875,4.654307096,4.650438981,4.578855947,4.410809475,4.386305664
AT1G02205,CER1,264146_at,9.316929068,9.241766968,8.799880072,8.709752691,9.591278634,8.635630598
AT1G02205,CER1,264147_at,5.286457802,5.127470944,6.83569644,6.793643736,5.585129636,6.664531844
AT1G02220,NAC003,264148_at,4.100435292,4.0640107,4.059144693,4.30105511,4.223275223,4.209857718
AT1G02250,NAC005,264149_at,3.870257498,3.80296592,3.773379786,3.693319312,3.544669636,3.715604746
AT1G02260,,264170_at,7.410497093,7.350223876,7.164063515,7.149701469,7.551913267,7.022727605
AT1G02270,,264123_at,7.323970927,7.496432658,7.7037982,8.070127333,7.754123679,8.165241945
AT1G02280,TOC33,264121_at,9.366749917,9.280695434,10.28334561,10.43038823,9.227773152,10.22421956
AT1G02300,CATHB1,259441_at,6.986086491,6.881487901,6.002326998,5.939889813,6.795891848,5.886965827
