#age,7 (day),,,,,,,
#ecotype,Col-0,,,,,,,
#development stage,seedling,,,,,,,
,,,,,,,,
Gene ID,Gene Name,DesignElementAccession,H_iaa1GR-IAA-1,H_iaa1GR-IAA-2,H_iaa1GR-IAA-3,H_iaa1GR-Mock-2,H_iaa1GR-Mock-1,H_iaa1GR-Mock-3
AT1G02670,,260909_at,4.237803423,4.161182204,4.310508657,4.224284353,4.105959526,4.203452461
AT1G02680,TAF13,260929_at,6.242630123,6.501075904,6.494933195,6.49694576,6.480336978,6.426397529
AT1G02690,IMPA-6,260910_at,7.856463627,7.96224961,7.730819398,7.88982038,7.800251465,7.649526082
AT1G02700,,260917_at,3.639215465,3.714756521,3.699034844,3.795642771,3.53711067,3.802815543
AT1G02710,,260905_at,4.974851082,5.03478661,4.790633789,4.896889857,5.00168225,4.960474507
AT1G02720,GATL5,260928_at,6.279873765,6.117593006,6.274266382,6.43811975,6.376771408,6.009492429
AT1G02730,CSLD5,262109_at,7.307422615,7.825205331,7.367632338,7.783175899,7.436507273,7.603877456
AT1G02740,MRG2,262108_at,6.507880101,6.471033992,6.355782686,6.491309503,6.541249872,6.628861456
AT1G02750,DI19-2,262107_at,6.962631047,6.742315537,6.626198957,6.855004084,6.848738753,6.796139383
AT1G02780,RPL19A,262117_at,12.40861846,12.53736926,12.44525326,12.65636405,12.41263871,12.49594977
AT1G02790,PGA3,262122_at,3.050397382,3.147506641,3.113704349,3.598332406,3.123830228,3.186368447
AT1G02800,CEL2,262121_at,5.207063897,5.034155397,5.802424354,5.361460112,5.391966784,5.509313541
AT1G02810,PME7,262105_at,6.818046016,6.114914753,6.162012406,6.332507539,6.859346162,5.540663958
AT1G02813,,262115_at,3.328769249,3.265913033,3.288806643,3.101244076,3.403898244,3.322165452
AT1G02816,,262116_at,8.309296545,8.48881943,8.279636225,8.331313203,8.264863381,8.124637319
AT1G02820,LEA2,262113_at,6.186575191,7.113977865,8.16360624,7.582920143,6.256733349,7.834221114
AT1G02830,RPL22A,262132_at,3.341786044,3.246568161,3.440259864,3.33601331,3.341786044,3.184917086
AT1G02840,SR34,262110_at,9.504256559,9.335958499,9.155147812,9.414683723,9.533868358,9.068018074
AT1G02850,BGLU11,262118_at,10.19449301,9.763291566,9.200270382,8.512249279,9.258450201,9.101892732
AT1G02860,BAH1,262114_at,7.714775275,7.208704665,7.033358311,6.405286771,7.265024902,6.432172582
AT1G02870,,262112_at,8.642779839,9.052059183,8.601344894,8.970320848,8.619709753,8.519376053
AT1G02890,,262130_at,8.744106377,8.372475325,8.282410368,8.259017116,8.567973666,8.066284898
AT1G02900,RALF1,262131_at,10.19166165,9.864411036,9.879275927,9.362148152,9.918003997,8.790764374
AT1G02910,LPA1,262104_at,7.52698822,7.470314636,7.470314636,7.470314636,7.374911416,7.470314636
AT1G02940,ATGSTF5,262103_at,3.027163538,3.049088899,3.082687838,3.263086545,3.137221044,3.801273738
AT1G02950,ATGSTF4,262120_at,5.566248897,5.763183132,5.315078228,5.502361254,5.696525776,5.359191709
AT1G02960,,262111_at,6.437670126,6.305121712,5.973987168,6.323225358,6.457580838,6.117422303
AT1G02970,WEE1,262106_at,5.695239257,5.906188362,6.007202075,5.975810996,5.807944681,5.963683277
AT1G02980,CUL2,262102_at,3.177372376,3.137575506,3.137575506,3.150343612,3.113081256,3.3731728
AT1G03000,PEX6,263170_at,7.150174546,6.88150536,7.065723282,6.999845387,7.21629706,7.27742227
AT1G03010,,263169_at,3.644418878,3.362136819,3.013504075,3.503818663,3.544357238,2.86962686
AT1G03020,GRXS1,263168_at,5.706288882,4.676420294,7.417695407,4.635667906,5.50241454,6.586589098
AT1G03030,,263167_at,7.393133627,7.285764863,7.080050619,7.407740182,7.149526607,7.111764458
AT1G03040,,263117_at,8.393725749,8.042611964,7.713965758,7.977841558,8.358416444,7.901387156
AT1G03050,,263166_at,3.077079547,3.077079547,2.971803079,3.077079547,3.216013408,3.047903232
AT1G03055,D27,263115_at,3.984779564,4.058447405,4.867156848,4.270569656,3.922212701,4.805775417
AT1G03060,SPI,263165_at,7.353043042,7.463609888,7.43434479,7.595156071,7.330843186,7.43434479
AT1G03070,,263164_at,5.392310243,5.258500374,5.860658945,5.96136208,5.838950157,6.162579579
AT1G03080,NET1D,263112_at,6.136893858,6.553001013,6.510930196,6.856027827,5.699546526,6.634231544
AT1G03090,MCCA,263118_at,7.859853383,7.52950228,6.646363272,7.271852781,7.702352839,6.773278063
AT1G03100,,263143_at,4.806236948,4.846002186,4.684600208,4.447728581,4.714087056,4.759137363
AT1G03110,TRM82,263119_at,7.528861398,7.761224629,7.567232876,7.784620435,7.567232876,7.288578157
AT1G03130,PSAD2,263114_at,9.799817281,11.53770782,12.43579304,11.46781515,9.888978969,12.43803246
AT1G03150,NAA20,263113_at,8.065493643,7.91950989,7.484373453,8.065069282,8.050050807,7.775368569
AT1G03160,FZL,263163_at,6.600960768,6.408251605,7.13082997,6.708647385,6.544663175,7.100830703
AT1G03170,FAF2,264363_at,4.781643793,5.066828891,4.528717591,4.176655328,4.359490243,4.100994371
AT1G03180,,264358_at,5.169658516,5.721405855,5.612747529,5.725936672,5.465039815,5.604988813
AT1G03190,XPD,264356_at,6.158791438,5.893373911,5.757818946,5.808831621,5.934203657,5.896389206
AT1G03210,,264355_at,7.797667111,7.728445225,7.118374603,7.881180238,7.697576155,7.19628153
AT1G03250,,264366_at,7.245402048,7.242048473,7.696998105,7.2028249,7.08013593,7.60352853
AT1G03260,,264353_at,6.986737798,6.730506237,6.738206908,6.720178391,6.935122256,6.578593837
AT1G03270,CBSDUF4,264352_at,4.47889876,4.922908129,5.027292532,5.058514794,5.053393216,5.261798721
AT1G03280,,264368_at,8.031888654,7.820174803,7.861627261,7.964019674,8.012514188,7.571389725
AT1G03290,,264362_at,6.681133436,6.498509217,5.960174003,6.478827341,6.582278898,6.26244056
AT1G03300,DUF1,264361_at,4.277737318,4.270116108,4.398003605,4.338092905,4.317768738,4.587158295
AT1G03310,ISA2,264360_at,7.518232765,7.375130355,8.583739775,7.769275717,7.580012686,8.858855213
AT1G03320,,264359_at,4.054654634,4.303474513,4.055486825,4.006530657,3.825762817,4.494345437
AT1G03330,LSM2,264364_at,9.365980726,9.412870336,9.16557323,9.472925413,9.325615665,9.229233942
AT1G03350,,264367_at,8.627693632,8.728433188,8.672383753,8.737199105,8.687509539,8.475117473
AT1G03360,RRP4,264357_at,7.433863806,7.943487421,7.736510283,7.705336619,7.145392677,7.637215834
AT1G03370,,264351_at,7.18034476,7.146054986,6.768912793,6.998092273,7.041406449,6.666955162
AT1G03380,ATG18G,264828_at,6.501075904,6.355574727,6.501995907,6.720618257,6.375680196,6.836539237
AT1G03390,,264827_at,3.452269181,3.348785708,3.391239251,3.09503592,3.081705188,3.243768009
AT1G03400,,264843_at,6.491052914,6.697983397,6.797785033,6.078972311,6.568326713,6.922057805
AT1G03410,2A6,264826_at,5.044289863,4.340562618,4.849537926,4.016354227,5.46632847,4.714811392
AT1G03430,AHP5,264838_at,7.793068121,7.231743031,7.59695129,7.337801176,7.790708752,7.565372203
AT1G03440,,264840_at,6.219200898,6.465153184,8.256364037,7.288651478,6.716339184,8.036195304
AT1G03445,BSU1,264823_at,4.894663804,4.902104042,5.038417896,5.157379102,4.934789942,5.222932095
AT1G03457,,264822_at,5.92402993,5.747558317,6.119031298,6.13088856,6.095632465,6.236006381
AT1G03470,NET3A,264821_at,5.320169185,4.940474982,4.91113094,5.322855302,5.405797675,4.951705548
AT1G03475,CPX1,264820_at,8.981630607,9.059127475,8.95884079,8.862592607,9.025537137,8.981630607
AT1G03490,NAC006,264829_at,3.320701625,3.288876576,3.320701625,3.342662517,3.320701625,3.305902803
AT1G03510,PCMP-E3,264819_at,4.582092127,4.134472657,4.659899751,4.192339174,4.747580635,4.258356683
AT1G03520,,264844_at,6.17070224,5.70403613,6.003439751,5.912355542,6.096208545,5.775405841
AT1G03530,ATNAF1,264818_at,7.573103106,7.9128929,7.075408902,7.713324741,7.344854091,6.855708436
AT1G03540,PCMP-E4,264817_at,4.43877636,4.43877636,4.333265234,4.703273371,4.502380672,4.43877636
AT1G03550,SCAMP2,264835_at,6.29203902,5.592492514,5.480840762,5.784392258,6.270551174,5.768423151
AT1G03560,,264816_at,5.610237626,5.396482722,5.575405069,5.443075895,5.857968488,5.240131997
AT1G03590,PPC6-6,264833_at,8.034865692,7.651656652,8.163585576,7.923752784,7.872277885,8.070704228
AT1G03600,PSB27-1,264837_at,11.19581814,11.55039912,12.1371119,11.55039912,10.85431353,12.08248128
AT1G03610,,264836_at,8.240788218,7.925372882,7.767591645,7.286903052,7.91146739,7.262939172
AT1G03620,,264815_at,4.698828039,4.564335064,4.187004106,4.49105953,4.532793051,4.42888962
AT1G03630,PORC,264839_at,9.209404736,9.294287383,10.59073959,9.199595284,9.313738625,10.57268909
AT1G03660,,264832_at,6.229779499,6.585286976,6.277760978,6.375364614,6.068069805,6.383516663
AT1G03680,ATHM1,264845_at,10.77238821,10.7892038,10.72854352,10.71577316,10.91502896,10.83622482
AT1G03687,,264831_at,6.417811874,6.426910756,6.389254436,6.368412433,6.389254436,6.389254436
AT1G03700,,264842_at,4.031875009,3.763140768,4.018105682,4.054031303,4.479689038,4.054031303
AT1G03710,,264830_at,3.437952119,3.530615339,3.494689719,3.773633257,3.482840838,3.677761872
AT1G03720,,264825_at,4.193720338,4.535058075,4.454171824,4.11031939,4.294001214,4.638979774
AT1G03730,,264834_at,8.422004906,8.282107265,8.055339963,8.089620327,8.460669665,7.668636484
AT1G03740,,264841_at,7.414468338,7.844616052,6.811409016,7.180299433,7.209233836,6.687123225
AT1G03750,SWI2,265088_at,4.546238306,4.495599258,4.447558582,5.00643428,4.644674072,4.50878822
AT1G03760,,265087_at,5.805758154,6.074551308,5.548156706,5.941685917,5.637520753,5.239306687
AT1G03770,RING1B,265086_at,4.841855988,5.125556987,4.398003605,4.827579528,4.601899086,4.895526254
AT1G03780,TPX2,265085_at,5.602860553,6.338939261,6.239349247,6.023644347,5.289273621,6.092364336
AT1G03790,SOM,265084_at,3.575813579,3.565016384,4.028422819,3.718390511,3.555053438,3.71375398
AT1G03820,,265083_at,9.155738219,9.485863084,8.328775263,7.476885819,7.586543055,7.279806199
AT1G03830,,265082_at,4.836208038,5.478071579,5.08775296,5.422388093,4.945356523,4.98145114
AT1G03840,MGP,265081_at,5.769973187,5.823623542,5.664132545,6.832311289,6.470603177,6.162845725
AT1G03850,,265067_at,6.094635826,7.066342154,6.363657414,7.659836367,7.33443002,7.726327278
AT1G03860,PHB2,265037_at,9.589010636,9.962429211,9.844627009,10.07130419,9.529005477,9.851071281
AT1G03870,FLA9,265066_at,10.71516058,10.81219164,11.78317508,10.89063857,10.94866572,11.4243548
AT1G03880,CRB,265095_at,3.409690394,3.721313557,3.604540705,3.482049876,3.508289019,3.549790531
AT1G03890,CRD,265094_at,3.564044653,3.473170243,3.787467341,3.455436593,3.482840838,3.575781731
AT1G03900,ATNAP4,265043_at,9.824828126,9.401071771,9.223262755,9.481708619,9.881932078,9.14399266
AT1G03905,ABCI19,265093_at,5.504048371,5.518996385,5.655081092,5.571788631,5.754189787,5.401339273
AT1G03910,CTN,265092_at,8.447042362,8.728644037,8.280734483,8.808868484,8.230421115,8.447042362
AT1G03920,,265038_at,5.669746481,5.445074092,5.578465638,5.774235806,5.576465562,5.437554994
AT1G03950,VPS2.3,265044_at,7.08997166,7.086512714,6.863788861,7.307695058,7.021990645,7.0145464
AT1G03960,B''EPSILON,265090_at,5.563551651,5.751070126,5.521068483,5.393113117,5.642935359,5.563551651
