#organism part,guard cells,,,,,,,,,,,,,
#geno type,wild type,,,,,,,,,,,,,
#compound,,,abscisic acid,control,control,abscisic acid,control,control,control,abscisic acid,control,abscisic acid,abscisic acid,abscisic acid
#dose,50?(micromolar),,,,,,,,,,,,,
#ecotype,Col-0,,,,,,,,,,,,,
#sample_source,,,"Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, abscisic acid treatment","Columbia wild-type leaves, no treatment","Columbia wild-type leaves, no treatment","Columbia wild-type guard cells, no treatment","Columbia wild-type guard cells, abscisic acid treatment","Columbia wild-type leaves, no treatment","Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type leaves, abscisic acid treatment","Columbia wild-type guard cells, abscisic acid treatment"
Gene ID,Gene Name,DesignElementAccession,GSM486930,GSM486892,GSM486894,GSM486905,GSM486916,GSM486917,GSM486893,GSM486904,GSM486918,GSM486928,GSM486929,GSM486906
AT1G02420,,259414_at,4.324550237,5.17399613,5.564475615,5.715033469,4.817377273,4.535194354,5.062172601,5.676857069,4.735367056,4.586365732,4.49172824,5.512614222
AT1G02450,NIMIN-1,260904_at,6.141317604,3.400432828,3.905340292,3.957724772,4.127389611,4.168340975,3.632349881,3.628303254,3.349945054,3.868024297,5.100495342,3.744475107
AT1G02460,,260903_at,5.041033558,4.712495372,4.925820424,4.95575917,5.828446334,5.5050942,4.790977044,4.975467087,5.312217131,5.303160585,5.838132524,5.222459141
AT1G02470,,260933_at,9.053114526,4.296930006,4.554017464,4.517642452,4.027587174,4.16561399,4.370126886,4.855027628,3.904250664,8.466017621,8.693604268,4.751552375
AT1G02475,,260916_at,10.41134873,8.913859086,8.864002752,8.715391597,9.752984859,9.899493818,8.88987104,8.15586108,9.54949254,10.37117078,10.74752355,9.198460734
AT1G02490,,260911_at,3.65960215,3.793731776,3.752287749,3.637100208,3.631662256,3.508856347,3.628837956,3.879969797,3.668270421,3.733535805,3.690773554,3.846600526
AT1G02500,SAM1,260913_at,10.457731,10.14607411,10.28540593,9.787732789,11.4799904,11.64695875,10.06878691,9.568018962,11.54788689,10.73610123,10.01772441,9.756592817
AT1G02540,,260906_at,3.498923422,3.658190248,3.400024213,3.498942994,3.385179142,3.126335339,3.394106794,3.368330734,3.503881762,3.219509797,3.278296407,3.356358172
AT1G02550,,260931_at,4.4938362,4.619892601,4.64980982,4.630770406,4.577314991,4.166282814,4.24346083,4.440573974,4.308994759,4.027223118,4.60123971,5.284950178
AT1G02560,CLPP5,260912_at,10.20325347,9.401225309,9.419426184,9.853067224,10.82037129,10.51817193,9.748730524,9.195211052,10.34934351,10.25816929,10.45747082,9.679686747
AT1G02575,,260907_at,4.066392706,4.170702305,4.117859111,4.320023144,3.758263234,3.846388115,4.203318294,4.175640073,3.859647789,4.250618637,4.053267212,4.505211842
AT1G02580,MEA,260908_at,4.360605403,3.618535776,4.08911943,3.872864148,3.758054054,3.823751818,3.713835034,3.828352112,3.96233524,4.195649836,4.088742252,4.347742503
AT1G02620,,260930_at,5.467071631,4.649417583,4.963300939,4.673144616,6.500529314,7.133235545,4.85912113,4.965072621,6.415431989,5.345704361,4.838552636,5.06976044
AT1G02640,BXL2,260914_at,6.136600763,6.044750617,5.699346069,4.816147232,6.0088449,8.601183132,4.924346201,5.426586354,10.26618788,6.662242585,4.201783368,5.299911983
AT1G02660,,260915_at,8.781160103,10.16343089,9.922325019,10.21089942,8.384537968,9.94564738,9.79619198,10.37489316,10.57471781,8.893345756,7.209408604,10.56454073
AT1G02670,,260909_at,4.400363419,4.478224422,4.727035584,6.505395896,4.067348528,4.120750837,4.782627774,6.888760585,4.676116796,4.272141281,4.307254951,4.979557511
