#ecotype,Col-0,,,,,,
#age,10 (day),,,,,,
#developmental stage,seedling,,,,,,
#organism part,whole organism,,,,,,
#age,10 (day),,,,,,
#development stage,seedling,,,,,,
#compound,,none,none,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,treated with 5 microMolar BA for 120 minutes,none
Gene ID,Gene Name,SRR797194,SRR797230,SRR797231,SRR797240,SRR797241,SRR833246
AT1G04400,CRY2,3812,9121,2460,2860,8629,9480
AT1G04410,MDH1,14987,29474,9497,12553,34469,26988
AT1G04420,,2305,3534,1127,1596,4113,3289
AT1G04425,,50,61,23,36,56,96
AT1G04430,,8229,17593,6402,7314,22586,18697
AT1G04440,CKL13,1448,3416,1289,1577,4232,3496
AT1G04445,,3,8,1,1,6,2
AT1G04450,RIC3,0,0,0,0,0,0
AT1G04457,,0,0,0,0,0,0
AT1G04470,,2,3,1,2,2,6
AT1G04480,RPL23B,3063,6455,1985,2726,8182,5563
AT1G04490,,12,45,15,20,49,39
AT1G04500,,5,6,1,4,10,7
AT1G04501,,0,0,0,0,0,0
AT1G04510,PRP19A,1217,2603,941,1362,3146,2628
AT1G04520,CRRSP3,310,606,244,442,943,682
AT1G04530,TPR4,1108,2173,596,1090,2311,1888
AT1G04540,,69,146,45,41,119,154
AT1G04550,IAA12,429,960,259,462,1110,999
AT1G04555,,126,214,81,82,299,237
AT1G04560,,3,43,2,2,249,14
AT1G04570,,583,915,137,467,416,676
AT1G04580,AAO4,3,2,3,0,5,6
AT1G04590,,379,815,291,538,1128,860
AT1G04600,XI-A,10,21,8,16,23,33
AT1G04610,YUC3,17,56,7,13,41,45
AT1G04620,HCAR,821,1354,456,700,1566,1412
AT1G04625,,1,0,0,0,0,2
AT1G04630,MEE4,646,1256,308,503,1301,1041
AT1G04635,EMB1687,91,219,136,161,334,179
AT1G04640,LIP2,528,904,229,463,919,778
AT1G04645,SPH5,0,0,0,0,0,0
AT1G04650,,44,74,32,44,77,102
AT1G04660,,14,42,1,6,65,40
AT1G04670,,0,0,0,1,0,0
AT1G04680,,1585,3438,1296,1570,4377,4053
AT1G04684,,0,0,0,0,0,0
AT1G04690,KAB1,2181,4474,1319,1940,4610,4058
AT1G04700,,58,207,63,82,283,182
AT1G04710,KAT1,410,785,209,337,745,694
AT1G04720,,0,0,0,0,0,0
AT1G04730,CTF18,98,255,95,181,307,260
AT1G04750,VAMP721,2010,4138,1199,1674,4347,4054
AT1G04760,VAMP726,30,57,6,25,57,59
AT1G04770,,1613,3703,1125,1519,4132,3201
AT1G04778,,2,16,1,2,8,15
AT1G04780,,1685,3880,1099,1700,3334,3392
AT1G04790,,534,1088,392,580,1334,1147
AT1G04800,,990,3234,791,1124,2736,2385
AT1G04810,RPN2B,985,2503,804,1301,2656,2158
AT1G04820,TUBA4,11007,23087,5764,8909,22042,23136
AT1G04830,,365,779,279,374,898,781
AT1G04840,PCMP-H64,24,57,18,26,59,79
AT1G04850,,1591,3737,1165,1540,4242,3506
AT1G04860,UBP2,1133,2746,995,1517,3256,2597
AT1G04870,PRMT10,874,1884,930,1549,3090,2001
AT1G04880,HMGB15,12,19,4,12,11,23
AT1G04890,,0,0,0,0,0,1
AT1G04900,,220,470,193,262,514,504
AT1G04910,,910,1941,550,731,1944,1906
AT1G04920,SPS3,44,121,29,56,123,98
AT1G04930,,203,389,135,216,546,460
AT1G04940,TIC20-I,137,227,57,107,260,224
AT1G04945,,351,668,309,557,993,726
AT1G04950,TAF6,360,790,257,439,785,824
AT1G04960,,774,1565,480,742,1786,1460
AT1G04970,,497,1111,411,593,1071,973
AT1G04980,PDIL2-2,525,1132,337,518,1289,1216
AT1G04985,,776,1395,420,655,1464,1267
AT1G04990,,415,857,383,432,1148,776
AT1G05000,,297,544,174,196,519,550
AT1G05010,ACO4,11269,21185,7940,10613,27130,21538
AT1G05020,AP180,156,285,78,87,335,283
AT1G05030,,481,1099,313,379,1039,1020
AT1G05040,,0,2,0,0,0,1
AT1G05055,GTF2H2,264,546,221,339,767,599
AT1G05060,,308,508,182,267,580,500
AT1G05061,,13,33,6,11,30,28
AT1G05065,CLE20,18,38,20,19,46,46
AT1G05070,,360,636,187,296,764,610
AT1G05080,,0,2,0,0,2,2
AT1G05085,,0,0,0,0,0,0
AT1G05090,,21,30,4,11,27,30
AT1G05100,MAPKKK18,82,172,27,40,87,73
AT1G05120,,601,1643,570,839,1747,1573
AT1G05135,,3260,8092,1651,2133,7594,6428
AT1G05136,,4,11,4,3,7,9
AT1G05140,ARASP2,797,1341,435,644,1565,1396
AT1G05150,,991,2330,714,1009,2448,2458
AT1G05160,KAO1,175,378,117,248,371,373
