#developmental stage,seeding,,,,,,,
#organism part,whole organism,,,,,,,
#genotype,columbia,,,,,,,
#compound,brassinazole,,,,,,,
Gene ID,Gene Name,DesignElementAccession,Col_BRZ_rep3,Col_mock_rep3,Col_mock_rep1,Col_mock_rep2,Col_BRZ_rep2,Col_BRZ_rep1
AT1G03700,,264842_at,4.589549227,4.589549227,4.289001142,4.498134549,4.756050337,4.79900863
AT1G03710,,264830_at,4.778732024,4.638038883,4.715439632,4.844740386,4.735786099,4.834861073
AT1G03720,,264825_at,4.651758346,4.753276478,4.842591341,4.741646529,4.741646529,4.701293416
AT1G03730,,264834_at,7.326480027,7.325108733,6.734317294,7.351543427,7.351431303,7.192467312
AT1G03740,,264841_at,7.161324435,7.317812006,7.180271976,7.024070196,7.244638873,7.245980767
AT1G03750,SWI2,265088_at,5.335122111,5.340535122,5.048745027,4.979432245,5.552144531,5.340535122
AT1G03760,,265087_at,5.455784777,5.275693292,5.006498697,5.546709653,5.546709653,5.546709653
AT1G03770,RING1B,265086_at,4.530113575,4.685978764,4.685978764,5.075335371,4.420778888,4.547247178
AT1G03780,TPX2,265085_at,4.785219766,5.058444447,5.060611434,4.911633551,4.657713366,4.805001475
AT1G03790,SOM,265084_at,9.476972119,9.425130887,9.260878678,9.405328255,9.649641472,9.365237427
AT1G03820,,265083_at,4.962357142,6.512970849,6.744467107,6.614804119,5.193759685,5.090243265
AT1G03830,,265082_at,4.945775621,5.162269432,5.163310388,5.258186146,5.126963393,5.126963393
AT1G03840,MGP,265081_at,4.282153195,4.243640236,4.14872712,3.989595341,4.258067458,4.317287894
AT1G03850,,265067_at,10.99053384,11.58117279,11.65593515,11.67049361,11.17257234,11.1844821
AT1G03860,PHB2,265037_at,8.912006484,8.881547338,8.919919773,8.617218865,8.912006484,8.665927447
AT1G03870,FLA9,265066_at,12.2500886,12.63309791,12.4491904,12.68971011,12.16378962,12.2213097
AT1G03880,CRB,265095_at,3.845712436,4.04362509,3.87226245,4.838932114,4.370572443,3.96610594
AT1G03890,CRD,265094_at,4.236599223,4.350331423,4.350331423,4.556248263,4.234245151,4.386870802
AT1G03900,ATNAP4,265043_at,10.30315099,10.33172633,10.18160192,10.33262543,10.33262543,10.20112799
AT1G03905,ABCI19,265093_at,5.773007162,5.737824753,5.790498833,5.771506249,5.624033873,5.600342473
AT1G03910,CTN,265092_at,9.265754454,9.263807197,8.940271421,9.2587022,9.430631152,9.337054626
AT1G03920,,265038_at,6.314912499,6.122185749,6.376251984,6.036483663,6.396725037,6.403904626
AT1G03950,VPS2.3,265044_at,7.448284236,7.647990752,7.49451455,7.647834805,7.5396036,7.550485016
AT1G03960,B''EPSILON,265090_at,4.531745644,4.63295923,4.48583798,4.18461754,4.781985977,4.577528549
AT1G03970,GBF4,265040_at,6.989590616,6.989590616,6.740318305,6.728452916,7.169688438,6.989590616
AT1G03980,ATPCS2,265065_at,4.393991515,4.361183632,4.263267108,4.718060562,4.448876754,4.308138102
AT1G03990,FAO1,265099_at,4.532114582,4.512380638,4.350331423,5.061257955,4.650017273,4.40744733
AT1G04000,,265039_at,7.332889068,7.35536352,7.453385638,7.996894611,7.118193827,7.383384645
AT1G04010,PSAT,265098_at,5.750809715,5.811202768,5.734725616,5.811202768,5.890282971,5.811202768
AT1G04020,ATBARD1,265097_at,4.732664545,5.105510516,4.620434767,4.739731476,4.962357142,4.940350205
AT1G04030,,265096_at,5.119371428,5.972047115,5.539388456,5.467219376,5.173985159,5.234760398
AT1G04040,,265042_at,10.43455704,10.63615542,10.73239942,10.74584907,10.44141653,10.61777048
