#organism part,whole organim,,,,,,
#age,12 (day),,,,,,
#dose,50 micromolar,,,,,,
#compound,,mock,mock,mock,abscisic acid,abscisic acid,abscisic acid
Gene ID,Gene Name,SRR1761506,SRR1761507,SRR1761508,SRR1761509,SRR1761510,SRR1761511
AT1G04680,,273,382,814,643,428,330
AT1G04684,,0,0,0,0,0,0
AT1G04690,KAB1,513,515,1116,1303,867,816
AT1G04700,,12,9,26,14,19,14
AT1G04710,KAT1,152,121,334,268,239,200
AT1G04720,,0,0,0,0,0,0
AT1G04730,CTF18,31,24,37,29,25,24
AT1G04750,VAMP721,493,602,1351,1093,821,811
AT1G04760,VAMP726,11,15,32,21,21,18
AT1G04770,,73,71,128,92,78,89
AT1G04778,,0,0,7,2,6,4
AT1G04780,,243,336,684,730,585,608
AT1G04790,,145,125,302,250,192,189
AT1G04800,,1473,1832,3802,1472,1374,985
AT1G04810,RPN2B,284,322,725,609,469,497
AT1G04820,TUBA4,2310,2419,5692,4177,3362,2984
AT1G04830,,130,155,388,449,324,386
AT1G04840,PCMP-H64,3,4,12,6,10,7
AT1G04850,,599,822,1385,1451,1182,1303
AT1G04860,UBP2,140,138,279,248,188,221
AT1G04870,PRMT10,120,139,211,134,126,112
AT1G04880,HMGB15,4,2,6,3,1,1
AT1G04890,,0,0,0,0,0,0
AT1G04900,,54,72,131,67,59,58
AT1G04910,,155,214,408,340,291,269
AT1G04920,SPS3,11,20,31,48,32,31
AT1G04930,,33,50,93,59,38,59
AT1G04940,TIC20-I,52,60,172,118,87,80
AT1G04945,,21,40,78,49,42,36
AT1G04950,TAF6,176,221,469,378,252,300
AT1G04960,,154,202,430,443,292,286
AT1G04970,,290,334,778,993,710,668
AT1G04980,PDIL2-2,77,86,236,175,122,77
AT1G04985,,290,343,741,599,461,497
AT1G04990,,119,156,284,661,437,449
AT1G05000,,109,121,261,203,171,126
AT1G05010,ACO4,3958,5169,11604,8048,6269,5348
AT1G05020,AP180,38,46,116,57,62,43
AT1G05030,,100,123,229,184,133,127
AT1G05040,,0,0,0,0,1,0
AT1G05055,GTF2H2,65,68,138,142,67,87
AT1G05060,,98,139,283,214,149,171
AT1G05061,,0,0,1,2,1,1
AT1G05065,CLE20,8,20,52,20,19,22
AT1G05070,,188,217,429,375,300,368
AT1G05080,,0,0,0,0,0,0
AT1G05085,,0,0,0,0,0,0
AT1G05090,,2,5,21,11,10,9
AT1G05100,MAPKKK18,6,5,18,457,236,251
AT1G05120,,96,126,244,286,194,203
AT1G05135,,372,480,898,537,445,286
AT1G05136,,0,1,0,0,0,0
AT1G05140,ARASP2,299,301,799,649,474,469
AT1G05150,,237,271,639,482,346,350
AT1G05160,KAO1,67,87,159,151,112,149
AT1G05170,B3GALT2,39,45,108,114,67,89
AT1G05180,AXR1,156,190,362,291,240,248
AT1G05190,RPL6,3211,3965,9190,6456,4877,4961
AT1G05200,GLR3.4,201,209,576,438,341,345
AT1G05205,,129,159,358,293,248,267
AT1G05210,,24,24,61,33,24,6
AT1G05220,,2,1,9,6,2,2
AT1G05230,HDG2,56,82,175,154,86,110
AT1G05240,PER1,0,0,0,0,0,0
AT1G05250,PER1,0,0,0,0,1,0
AT1G05260,PER3,183,230,403,186,122,141
AT1G05270,,180,235,488,422,294,310
AT1G05280,,9,26,12,13,9,9
AT1G05290,,0,0,0,0,0,0
AT1G05291,,0,0,0,0,0,0
AT1G05300,ZIP5,31,44,96,62,33,23
AT1G05310,PME8,20,22,50,75,57,17
AT1G05320,,50,68,131,171,103,110
AT1G05330,,0,0,1,2,2,1
AT1G05340,,68,97,200,1772,908,929
AT1G05350,,141,173,366,335,223,245
AT1G05360,KMS2,74,91,202,194,147,139
AT1G05370,,12,6,41,24,16,14
AT1G05380,,112,155,337,289,249,263
AT1G05385,PSB27-2,90,130,282,180,129,129
AT1G05390,,0,0,0,0,0,0
AT1G05400,,8,17,23,15,12,13
AT1G05410,,112,123,243,233,153,186
AT1G05420,ATOFP12,22,15,48,65,32,46
AT1G05430,,176,228,471,494,344,314
AT1G05440,,13,9,24,16,7,23
AT1G05450,,5,9,15,72,50,36
AT1G05460,SDE3,102,101,201,142,142,147
AT1G05470,IP5P6,59,77,114,66,46,46
AT1G05490,CLSY3,3,2,8,6,5,8
AT1G05500,SYT5,197,243,534,511,363,327
AT1G05510,OBAP1A,1,0,0,2,1,1
AT1G05520,,175,231,442,508,373,380
AT1G05530,UGT75B2,4,5,4,9,6,2
AT1G05540,,16,11,33,30,30,15
AT1G05550,,3,4,2,1,3,3
AT1G05560,UGT1,47,49,168,738,461,527
AT1G05562,,6,8,18,17,8,9
AT1G05570,CALS1,129,180,301,73,62,40
AT1G05575,,10,16,25,33,19,22
AT1G05577,,0,4,1,3,0,3
AT1G05580,CHX23,0,0,0,0,0,0
AT1G05590,HEXO2,85,82,180,143,117,111
AT1G05600,,32,36,94,67,46,53
AT1G05610,APS2,1,4,18,8,5,3
AT1G05615,,0,0,0,0,0,0
AT1G05620,URH2,98,123,188,277,208,204
AT1G05630,AT5PTASE13,79,78,176,111,93,107
AT1G05640,,17,14,30,25,20,21
AT1G05650,,0,0,0,1,0,0
AT1G05660,,2,3,0,12,8,5
AT1G05670,,21,29,46,21,36,40
AT1G05675,UGT74E1,5,2,6,20,13,7
AT1G05680,UGT74E2,36,5,114,159,125,105
AT1G05690,BT3,3,13,19,19,21,19
AT1G05700,,17,31,30,1,1,2
AT1G05710,,66,79,157,117,95,89
AT1G05720,,172,195,392,357,256,338
AT1G05730,,10,12,25,16,16,11
AT1G05740,,0,0,0,0,0,0
AT1G05750,PDE247,35,29,57,38,44,34
AT1G05760,RTM1,0,0,0,0,0,0
AT1G05770,JAL2,17,14,24,18,5,11
AT1G05780,,30,39,91,82,59,60
AT1G05785,,19,33,44,58,30,40
AT1G05790,,122,163,284,271,260,267
AT1G05800,DGL,0,0,0,0,2,1
AT1G05805,BHLH128,370,468,855,632,534,552
AT1G05810,ARA,183,224,521,229,177,198
AT1G05820,SPPL5,33,50,69,45,30,41
AT1G05830,ATX2,155,207,395,352,251,282
AT1G05835,,62,68,210,237,155,165
AT1G05840,,205,289,551,478,363,365
AT1G05850,CTL1,3512,4343,9879,7143,5383,5484
AT1G05860,,96,123,259,209,157,183
AT1G05870,,107,129,306,520,499,464
AT1G05880,ARI12,2,1,0,1,3,0
AT1G05890,ARI5,558,720,1349,1266,954,1188
AT1G05894,,2,2,6,7,6,9
AT1G05900,NTH2,91,74,169,223,155,177
AT1G05910,,88,107,217,134,108,106
AT1G05920,,0,0,0,0,0,0
AT1G05925,,0,0,0,0,0,0
AT1G05930,,0,0,0,0,0,0
AT1G05940,CAT9,180,215,538,489,340,365
AT1G05950,,19,25,54,30,22,21
AT1G05960,,352,545,1065,818,631,716
AT1G05970,,45,70,134,115,82,86
AT1G05980,,0,0,0,0,0,0
AT1G05990,CML7,3,5,2,0,0,0
AT1G06000,UGT89C1,47,52,83,120,112,79
AT1G06002,,1,0,0,1,0,0
AT1G06010,,72,85,178,149,93,123
AT1G06020,,3,0,3,7,7,4
AT1G06030,,1,0,1,0,0,0
AT1G06040,BBX24,944,1161,2610,2512,2145,1779
AT1G06050,,29,38,68,75,49,46
AT1G06060,,154,208,416,371,295,296
AT1G06070,,133,159,334,298,197,224
AT1G06080,ADS1,51,38,185,385,253,253
AT1G06090,,47,86,41,34,32,20
AT1G06100,,2,1,2,5,7,7
AT1G06110,SKIP16,217,253,581,643,460,533
AT1G06120,,5,3,6,5,1,0
AT1G06130,GLX2-4,158,240,462,445,367,338
AT1G06135,,0,1,10,23,19,20
AT1G06137,,0,0,0,3,2,0
AT1G06140,PCMP-E61,2,1,9,5,3,2
AT1G06148,,1,1,3,2,3,1
