#age,6 (day),,,,,,,
#development stage,seedling,,,,,,,
#ecotype,Col-0,,,,,,,
#compound,,,1 micromolar indole-3-acetic acid,1 micromolar indole-3-acetic acid,none,1 micromolar indole-3-acetic acid,none,none
Gene ID,Gene Name,DesignElementAccession,Hybridization6,Hybridization4,Hybridization2,Hybridization5,Hybridization3,Hybridization1
AT1G02400,GA2OX6,259445_at,8.103537126,8.215703742,7.896035015,8.474032398,7.829857842,7.3882276
AT1G02410,COX11,259446_at,8.019766217,7.967578581,8.030046744,8.247689863,8.144317621,8.393401798
AT1G02420,,259414_at,5.96503112,6.066276694,5.988383555,6.056493662,6.014243685,6.062045567
AT1G02450,NIMIN-1,260904_at,4.517112535,4.142482181,4.495817887,4.137581269,4.382702199,4.55721043
AT1G02460,,260903_at,6.227028861,6.684360006,6.289627579,6.176985758,6.228258102,6.207560004
AT1G02470,,260933_at,8.893976979,8.65934254,8.39296208,8.757070742,8.451417258,8.040632618
AT1G02475,,260916_at,9.270415917,9.593244937,9.210528021,9.512567647,9.144050053,9.390170925
AT1G02490,,260911_at,4.170123603,4.101636507,4.321763192,4.22986272,4.210820613,4.32657401
AT1G02500,SAM1,260913_at,12.34993774,12.37729927,12.34030485,12.28838712,12.26175306,12.45374114
AT1G02540,,260906_at,3.850136263,4.067377049,3.878980868,4.047547854,3.846485726,4.160461523
AT1G02550,,260931_at,5.261567318,5.13587295,5.065071716,5.028341384,5.068785967,5.119025699
AT1G02560,CLPP5,260912_at,10.67366078,10.67081486,10.71786189,10.72150121,10.57181682,10.96354328
AT1G02575,,260907_at,5.120154407,5.371527233,5.081087485,5.211678251,5.133845833,5.216068973
AT1G02580,MEA,260908_at,6.845963781,6.565910524,6.426247391,6.644979925,6.578902333,6.086019307
AT1G02620,,260930_at,7.444241108,7.738135372,7.517262877,7.318243993,7.68366168,7.638577583
AT1G02640,BXL2,260914_at,11.09886557,10.75092424,10.88384981,11.02033175,10.94054933,10.98912417
AT1G02660,,260915_at,11.20624204,10.78606022,10.82584167,10.93749864,10.94830747,10.93476985
AT1G02670,,260909_at,5.472561787,6.083874726,5.483166011,5.973596495,5.712039728,5.333580916
AT1G02680,TAF13,260929_at,8.55172799,8.507825989,8.313771482,8.383537654,8.45318736,8.112404105
AT1G02690,IMPA-6,260910_at,8.284460378,8.240769144,8.084470547,8.439528921,7.918401916,8.481677351
AT1G02700,,260917_at,4.913028153,5.149910163,4.955892251,4.824081068,4.812185426,4.847400227
AT1G02710,,260905_at,5.770190388,6.367347335,6.007780293,6.13588336,6.28353022,6.568631158
AT1G02720,GATL5,260928_at,6.615612038,6.390039698,6.658488732,6.801682218,6.686921629,6.90097988
AT1G02730,CSLD5,262109_at,6.386364375,6.850716383,6.894652127,6.606267028,6.580564798,7.244166345
AT1G02740,MRG2,262108_at,7.682116124,7.471032226,7.500813974,7.513234715,7.537492257,7.557258844
AT1G02750,DI19-2,262107_at,8.82128348,9.04923344,8.940748081,8.724632945,8.912016611,8.497592555
AT1G02780,RPL19A,262117_at,12.80260371,12.86088117,12.81624657,12.86300564,12.7712114,12.92324329
AT1G02790,PGA3,262122_at,4.230632934,4.459065532,4.494159197,4.4473957,4.268411255,4.256292707
AT1G02800,CEL2,262121_at,5.167365033,5.788866788,5.226854587,4.978587614,4.942020938,5.642468085
AT1G02810,PME7,262105_at,4.998268181,5.567280488,4.474433312,5.214566881,4.751719709,5.041432943
AT1G02813,,262115_at,4.102240206,4.621121834,4.349583536,4.063490007,4.324948196,4.303153
AT1G02816,,262116_at,10.1168272,9.873645046,9.768519161,9.787736017,9.79837314,9.756015253
AT1G02820,LEA2,262113_at,6.051646501,5.947702536,5.922663067,5.843088889,6.038297858,5.697998657
AT1G02830,RPL22A,262132_at,4.153907358,4.071324996,4.23650827,4.084347022,4.036572765,4.067334971
AT1G02840,SR34,262110_at,11.77468244,11.90391293,12.03124067,11.91193658,11.85224409,12.0721867
AT1G02850,BGLU11,262118_at,11.11241717,11.07727605,10.37600336,11.13296724,10.30726325,10.12091625
AT1G02860,BAH1,262114_at,9.983307145,9.983410755,9.801278533,9.892971975,9.794855332,9.594743583
AT1G02870,,262112_at,9.9202635,10.32277255,9.962016454,10.3000576,10.07451052,10.17798922
AT1G02890,,262130_at,9.306343817,9.29668857,9.381755571,9.399048312,9.299230954,9.467984324
AT1G02900,RALF1,262131_at,9.800622521,10.01488184,9.324321968,9.671644755,9.321685029,8.650538706
AT1G02910,LPA1,262104_at,7.876608578,8.083317888,7.915407047,7.960612627,8.024286579,7.509377896
AT1G02940,ATGSTF5,262103_at,3.80414888,3.713303342,3.827009017,3.964892207,3.8239133,3.796582354
AT1G02950,ATGSTF4,262120_at,6.040067912,6.341087139,6.348482467,5.952190448,6.311069431,6.498181892
AT1G02960,,262111_at,8.143430462,8.146650979,8.276022232,8.133779124,8.356597476,8.094266015
AT1G02970,WEE1,262106_at,5.233352617,5.451841974,5.120380641,5.268609271,5.263810806,5.196185265
AT1G02980,CUL2,262102_at,4.062546746,4.142266737,3.907109203,4.153371388,4.074352996,4.191891573
AT1G03000,PEX6,263170_at,8.854078872,8.962279202,8.961582358,8.895938046,8.867347758,9.053752565
AT1G03010,,263169_at,4.31973377,4.84473749,4.998537559,4.609956302,4.883030853,4.736030893
AT1G03020,GRXS1,263168_at,4.507141723,4.722783881,4.219065283,4.302180325,4.370075758,4.762847657
AT1G03030,,263167_at,8.231027268,8.494827721,8.288088385,8.393350806,8.244343334,8.086466768
AT1G03040,,263117_at,8.924350212,9.225386551,9.088032205,9.17369846,9.019162322,9.219933739
AT1G03050,,263166_at,4.194507716,4.194672589,4.186593,3.715175142,3.897400482,3.978984609
AT1G03055,D27,263115_at,4.943811113,4.822620015,4.849136393,4.913515519,4.833089951,5.026660707
AT1G03060,SPI,263165_at,9.277085536,9.204729792,9.335753388,9.317244499,9.236814471,9.233129054
AT1G03070,,263164_at,6.646920211,7.095696526,6.876457625,6.52211195,6.922884226,7.099307522
AT1G03080,NET1D,263112_at,9.205780359,8.979850471,8.751079079,8.689936792,8.909206023,8.332363899
AT1G03090,MCCA,263118_at,13.23578573,13.09542243,13.1778462,13.12546641,12.99334402,13.24083021
AT1G03100,,263143_at,5.274772205,5.496861745,5.392849182,5.637873154,5.330874872,5.52399631
AT1G03110,TRM82,263119_at,6.995428643,7.45202735,7.169941794,7.578843164,7.020466665,7.005195189
AT1G03130,PSAD2,263114_at,11.01412477,10.97028275,11.23608901,11.22343679,11.2544323,11.40038011
AT1G03150,NAA20,263113_at,9.152865969,9.243084884,9.181683439,9.139761855,9.174968156,8.767512123
AT1G03160,FZL,263163_at,8.134684463,8.522504762,8.536328469,8.453185254,8.377336671,8.279268878
AT1G03170,FAF2,264363_at,4.820061276,4.949964153,4.474869754,4.729195827,4.500663462,4.619740878
AT1G03180,,264358_at,5.474004205,5.968152005,5.78166395,5.934537763,5.755260233,5.847055446
AT1G03190,XPD,264356_at,7.094833228,7.236817966,7.224988625,7.331864271,7.101400895,7.142575897
AT1G03210,,264355_at,10.88973003,10.81598687,10.84978725,10.69666676,10.95860995,10.54135581
AT1G03250,,264366_at,7.649660052,7.343178613,7.670053757,7.567544753,7.669682866,7.361560763
AT1G03260,,264353_at,7.368318704,7.141738472,7.246939222,7.452052516,7.274198338,7.326556366
AT1G03270,CBSDUF4,264352_at,4.733521154,4.682450561,4.633700371,4.85050283,4.747438713,4.795728955
AT1G03280,,264368_at,9.26887496,9.430375654,9.267034819,9.210056019,9.266413621,9.015855925
AT1G03290,,264362_at,9.252228369,9.219219134,9.107752718,9.065378805,9.251610803,9.085034304
AT1G03300,DUF1,264361_at,5.526603543,5.603169467,5.43499418,5.331144731,5.757311936,5.508990235
AT1G03310,ISA2,264360_at,6.969359799,7.118321569,7.238798429,7.171659745,7.226708427,7.34645952
AT1G03320,,264359_at,4.732451251,4.451861827,4.593687727,4.669566366,4.524802151,4.446889819
AT1G03330,LSM2,264364_at,10.2574685,10.03582121,10.140579,9.881211172,10.18176908,9.704649554
AT1G03350,,264367_at,9.082678897,9.116195178,8.985122189,9.095510505,8.89167003,9.025722677
AT1G03360,RRP4,264357_at,7.894533247,7.679275806,7.654450618,7.881802704,7.552381491,7.491512416
AT1G03370,,264351_at,8.278508432,8.359870037,8.596214364,8.634633619,8.413744815,8.367716096
AT1G03380,ATG18G,264828_at,9.468653907,9.242510354,9.436193065,9.5093214,9.520808763,9.904389404
AT1G03390,,264827_at,3.998281334,3.998281334,4.010327647,4.239549465,4.174677744,4.123732985
AT1G03400,,264843_at,9.532071642,9.465914093,9.469904778,9.481169942,9.672668946,9.750058053
AT1G03410,2A6,264826_at,7.368834487,7.437415101,7.356636049,7.628594895,7.293295613,7.687494371
AT1G03430,AHP5,264838_at,8.145396507,7.931148226,8.187135516,8.21748897,8.062419302,7.90974347
AT1G03440,,264840_at,7.664226215,7.673667217,7.735702729,7.701682431,7.662973834,8.147818193
AT1G03445,BSU1,264823_at,6.096557029,6.249311898,6.121786566,6.027497123,6.077287552,6.482094619
AT1G03457,,264822_at,8.086071634,7.907439522,8.506652498,7.821433653,8.382770148,8.577650591
AT1G03470,NET3A,264821_at,8.225589424,8.110256464,8.078789873,7.796726869,8.052862781,7.079033507
AT1G03475,CPX1,264820_at,9.216739162,9.390810057,9.425292896,9.396082919,9.288039377,9.456578252
AT1G03490,NAC006,264829_at,4.540398005,4.236927622,4.505172685,4.68441382,4.268236011,4.350721464
