#age,3(day),,,,,,,
#ecotype,Col-0,,,,,,,
#dose,10  micromolar,,,,,,,
#compound,,,DMSO,indole-3-butyric acid,indole-3-butyric acid,DMSO,DMSO,indole-3-butyric acid
Gene ID,Gene Name,DesignElementAccession,GSM1436785,GSM1436787,GSM1436783,GSM1436781,GSM1436789,GSM1436791
AT1G03030,,263167_at,5.913355607,5.937819273,5.951996879,6.047051817,6.10960982,6.094442059
AT1G03040,,263117_at,6.396021484,6.701361607,7.00676608,6.543254287,6.441780289,6.801134489
AT1G03050,,263166_at,2.23672285,2.016816343,2.449285608,2.013622844,2.107572938,1.901162461
AT1G03055,D27,263115_at,2.476814491,2.489926177,2.462270828,2.417464357,2.632706615,2.28797185
AT1G03060,SPI,263165_at,6.808258355,6.643517932,6.895246542,6.769244906,6.724648762,6.611307323
AT1G03070,,263164_at,5.792611053,5.217845744,5.70903236,5.770563031,6.15378848,5.367519681
AT1G03080,NET1D,263112_at,5.877697202,6.250569879,6.18523965,5.89095015,5.945999502,5.973855502
AT1G03090,MCCA,263118_at,5.72360637,6.333096559,6.282958612,5.874716573,5.645228907,6.200193525
AT1G03100,,263143_at,4.882940683,4.745342096,4.908019049,5.016592703,4.735256461,4.56308758
AT1G03110,TRM82,263119_at,7.569515406,7.521114961,7.501037553,7.627226948,7.807952667,7.413234232
AT1G03130,PSAD2,263114_at,3.471942914,3.393556012,3.38004074,3.403620146,3.311066135,3.263457562
AT1G03150,NAA20,263113_at,8.027180791,7.786865753,7.946202839,8.20404884,8.264918975,7.593760956
AT1G03160,FZL,263163_at,3.553911886,3.442236477,3.496060577,3.740769625,3.816794687,3.301555349
AT1G03170,FAF2,264363_at,2.654483531,2.417917814,2.598358401,2.54502881,2.708070199,2.54134896
AT1G03180,,264358_at,5.879542276,5.860463746,5.932187539,5.87985724,5.952767807,5.802331865
AT1G03190,XPD,264356_at,6.206904084,6.580421803,6.401332759,6.299297649,6.045884624,6.217193493
AT1G03210,,264355_at,7.75592217,7.653859094,7.746318753,7.961515408,8.007161221,7.837750513
AT1G03250,,264366_at,6.208020799,6.283322455,6.184039462,6.280946294,6.46857066,6.354937946
AT1G03260,,264353_at,6.329418004,6.158528113,6.269998845,6.276941123,6.364752763,5.923114831
AT1G03270,CBSDUF4,264352_at,4.698584726,5.084252988,4.608326214,4.578536267,4.858456969,4.518874763
AT1G03280,,264368_at,7.296829267,7.281739437,7.359905925,7.322768424,7.244604456,7.220010063
AT1G03290,,264362_at,5.853085624,6.109120762,5.930528359,5.872485624,5.963876542,6.086139912
AT1G03300,DUF1,264361_at,3.405323687,3.681491625,3.528890344,3.356057817,3.526097987,3.351280754
AT1G03310,ISA2,264360_at,4.928266526,5.156250554,4.928236458,5.083134415,5.145622572,4.87151468
AT1G03320,,264359_at,2.319018003,2.59600643,2.406707723,2.614174999,2.256110285,2.597860269
AT1G03330,LSM2,264364_at,9.216001811,9.148808065,9.280742265,9.170779536,9.171180105,8.956446938
AT1G03350,,264367_at,8.192866587,8.225016503,8.187387567,8.212189286,8.334227518,8.202600812
AT1G03360,RRP4,264357_at,7.033200853,6.882252053,6.749466696,7.15694151,7.134729911,6.71246359
AT1G03370,,264351_at,6.554800999,6.155509267,6.653234932,6.414709284,6.628022534,6.463283105
